Ovr,Name,Team,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18,TOTAL
261,Baker Mayfield,CLV,10.9,16.3,14.3,15.2,17.6,7.3,30.8,7.8,,5.4,9.1,18.4,29.9,29,21,12,16.2,,16.33
55.7,Brandon Allen,CIN,,,,,,,,,,,,9.1,9.4,13.9,,23.1,0.1,,11.12
57.8,Joe Flacco,NYJ,,,,0.6,13.8,6.4,,,21.5,,15.4,,,,,,,,11.54
319.2,Kirk Cousins,MIN,20.8,1.5,21.4,14.9,17.2,22.7,,10.4,20.8,18.6,25,26.2,24.4,17.1,20.3,23.6,34.3,,19.95
297.4,Matt Ryan,ATL,24.9,28.5,12.4,12.4,7.9,31.6,17.5,18.9,23.4,,7.3,14.9,14.9,10.3,27.8,19.9,24.7,,18.58
79.6,Alex Smith,WAS,,,,,1.6,,,,14,16,9.3,9.1,15.8,1.3,,,12.5,,9.95
340.8,Justin Herbert,LAC,,23.2,17.7,24,27.4,,38.5,23.2,23.4,21.5,27.7,15.4,6.4,16.7,28,16.7,31,,22.72
8.7,Chris Streveler,ARZ,0.3,0,,,,,,,,,,,,,,,8.4,,2.90
30.1,Jeff Driskel,DEN,,17.7,11.4,0.9,,,,,,,,,,,,,,,10.00
8.9,Tyrod Taylor,LAC,8.9,,,,,,,,0,,,,,,,,,,4.45
0,Easton Stick,LAC,,,,,,,0,,,,,,,,,,,,0.00
0.8,A.J. McCarron,HST,,,,,,,,,,,,,,0,,,,,0.00
67.6,Mike Glennon,JAX,,,,,,,,,,,,18,14.1,2.4,,14.4,18.6,,13.50
295.1,Derek Carr,LV,13.6,23.7,19.4,22.4,25,,20.3,12.5,16,7.2,22.6,7.6,32.7,25.8,2.1,23.2,20.9,,18.44
-0.9,Tim Boyle,GB,-0.2,-0.1,,-0.1,,0,-0.1,,-0.1,,,0,,,,-0.3,,,-0.11
219.5,Drew Brees,NO,14.4,15.5,23.5,16.5,22.1,,25.7,19.6,24.7,6.9,,,,,20.4,10.1,20,,18.28
-0.8,Kendall Hinton,DEN,,,,,,,,,,,,-0.8,,,,,,,-0.80
11.7,Taylor Heinicke,WAS,,,,,,,,,,,,,,,,11.7,,,11.70
