"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","SOS SEASON","ECR VS. ADP"
"226",11,"Sterling Shepard",NYG,"WR85","9","4 out of 5 stars","+77"
"227",11,"Romeo Doubs",GB,"WR86","14","3 out of 5 stars","-52"
"228",11,"Baltimore Ravens",BAL,"DST15","10","4 out of 5 stars","-56"
"229",11,"Tyrion Davis-Price",SF,"RB66","9","2 out of 5 stars","-7"
"230",11,"Laviska Shenault Jr.",JAC,"WR87","11","4 out of 5 stars","+42"
"231",11,"Samaje Perine",CIN,"RB67","10","3 out of 5 stars","+61"
"232",11,"Jonnu Smith",NE,"TE27","10","4 out of 5 stars","+51"
"233",11,"Younghoe Koo",ATL,"K9","14","1 out of 5 stars","-40"
"234",11,"Rodrigo Blankenship",IND,"K10","14","4 out of 5 stars","-43"
"235",11,"Jason Sanders",MIA,"K11","11","1 out of 5 stars","+23"
"236",11,"Philadelphia Eagles",PHI,"DST16","7","2 out of 5 stars","+1"
"237",11,"Terrace Marshall Jr.",CAR,"WR88","13","3 out of 5 stars","+51"
"238",11,"Pittsburgh Steelers",PIT,"DST17","9","5 out of 5 stars","-31"
"239",11,"Damien Williams",ATL,"RB68","14","1 out of 5 stars","+27"
"240",11,"Trey Sermon",SF,"RB69","9","2 out of 5 stars","+20"
"241",11,"D'Ernest Johnson",CLE,"RB70","9","3 out of 5 stars","+4"
"242",11,"Brandon McManus",DEN,"K12","9","4 out of 5 stars","-22"
"243",11,"Marcus Mariota",ATL,"QB29","14","3 out of 5 stars","+58"
"244",11,"Nick Folk",NE,"K13","10","5 out of 5 stars","-40"
"245",11,"Mo Alie-Cox",IND,"TE28","14","2 out of 5 stars","+61"
"246",11,"Zay Jones",JAC,"WR89","11","4 out of 5 stars","+52"
"247",11,"Deshaun Watson",CLE,"QB30","9","4 out of 5 stars","-70"
"248",12,"Robbie Gould",SF,"K14","9","3 out of 5 stars","-37"
"249",12,"Byron Pringle",CHI,"WR90","14","3 out of 5 stars","+94"
"250",12,"Jerick McKinnon",KC,"RB71","8","3 out of 5 stars","+45"
"251",12,"Arizona Cardinals",ARI,"DST18","13","3 out of 5 stars","+79"
"252",12,"Jeff Wilson Jr.",SF,"RB72","9","2 out of 5 stars","-13"
"253",12,"Jake Elliott",PHI,"K15","7","2 out of 5 stars","+11"
"254",12,"Dustin Hopkins",LAC,"K16","8","5 out of 5 stars","-31"
"255",12,"Tennessee Titans",TEN,"DST19","6","2 out of 5 stars","-31"
"256",12,"Adam Trautman",NO,"TE29","14","4 out of 5 stars","+55"
"257",12,"Cincinnati Bengals",CIN,"DST20","10","4 out of 5 stars","-2"
"258",12,"Braxton Berrios",NYJ,"WR91","10","1 out of 5 stars","+123"
"259",12,"Zack Moss",BUF,"RB73","7","4 out of 5 stars","+91"
"260",12,"Greg Zuerlein",NYJ,"K17","10","0 out of 5 stars","-25"
"261",12,"Rex Burkhead",HOU,"RB74","6","3 out of 5 stars","+112"
"262",12,"Randall Cobb",GB,"WR92","14","3 out of 5 stars","+23"
"263",12,"Bryan Edwards",ATL,"WR93","14","4 out of 5 stars","+47"
"264",12,"Sammy Watkins",GB,"WR94","14","3 out of 5 stars","-85"
"265",12,"Carolina Panthers",CAR,"DST21","13","4 out of 5 stars","+3"
"266",12,"Mitch Trubisky",PIT,"QB31","9","3 out of 5 stars","+34"
"267",12,"Mike Davis",BAL,"RB75","10","4 out of 5 stars","+24"
"268",12,"Minnesota Vikings",MIN,"DST22","7","2 out of 5 stars","-26"
"269",12,"Wil Lutz",NO,"K18","14","4 out of 5 stars","-66"
"270",12,"Chris Boswell",PIT,"K19","9","3 out of 5 stars","-30"
