"Ovr","Name","Team","W1","W2","W3","W4","W5","W6","W7","W8","W9","W10","W11","W12","W13","W14","W15","W16","W17","W18"
"44.7","Kyle Rudolph","NYG","1.8","3.5","0","3.4","1.9","1.3","1.8","8.2","4","","3.3","","2.8","7.6","1.4","0","0","3.7"
"243.6","Mark Andrews","BLT","3.5","8.2","13.4","9.2","32.2","15.3","6.3","","6.9","15.3","11.3","14.5","7","23","30.6","22.5","11.9","12.5"
"0","Hunter Kampmoyer","LAC","","","","","","","","","","","","","","","","","0",""
"10.7","Sean McKeon","DAL","","","","","","","","","0","2.5","0.7","7.5","0","","0","0","0","0"
"5.9","Garrett Griffin","NO","0","0","0","0","0","","0","4.5","0","0","0","0","1.4","0","","","",""
"0","Sammis Reyes","WAS","","","","","","","","","","0","0","0","0","0","","0","0",""
"54.5","Geoff Swaim","TEN","0","2","4.2","0","0","1.3","1.3","10.3","10.9","4.6","","1.3","","6","1","2.5","8.4","0.7"
"62.7","Jack Doyle","IND","3.6","8.9","1.5","2.9","0.9","0","0","8.2","6.6","4.6","4.5","17.1","1.8","","0.5","0","0","1.6"
"6.3","Darren Fells","TB","0.7","0","4.5","0","0","0","1.1","","","0","","","","","","","","0"
"31.3","Tyler Kroft","NYJ","4.1","1.3","2.2","0","","","","9","4.8","","","","","","4.5","4.4","","1"
"9.1","Luke Farrell","JAX","0","1.1","0.4","1.2","1.8","2.6","","0.8","0","0","0","","0","0","","0","1.2","0"
"11.1","Josh Oliver","BLT","0","1.4","1.1","0","2.3","0.7","3.9","","0","0","","","0","1.1","0","","","0.6"
"4.2","Jack Stoll","PHI","0","0","0","0","0","0","0","1.4","0","1.6","0","0","0","","1.2","0","0",""
"0","Stephen Sullivan","CAR","","","","","","","","","","","","","","","","0","0","0"
"0","Ian Bunting","DAL","","","","","","","","","","","","","","0","","","",""
"5.5","Tyler Davis","GB","","","","","0","","0","","0","0.9","0","0","","0","2.7","0","1.9","0"
"0.5","Deon Yelder","TB","","","","","","0","0.5","","","","","","","","","","",""
"0.4","Daniel Helm","LV","","","","","","","","","0","0","0","0","0","0","0.4","0","0",""
"2.6","Cethan Carter","MIA","0","1.3","","0","0","1.3","","","0","","","","0","","0","","0","0"
"0","Donovan Wilson","DAL","0","","","","","","","","","","","","","","","","",""
"107.8","Tyler Conklin","MIN","6.1","2.5","16.5","3.8","3.5","8.6","","8.2","7","14.6","5","3.5","9.1","3","1.2","6.4","7.2","1.6"
"167.8","Dalton Schultz","DAL","7.5","2.8","23","14.8","10.9","10.4","","2.1","7.4","1.9","8.3","12.1","6.8","0.9","16.7","18.2","8.4","15.6"
"54.1","Ricky Seals-Jones","WAS","0","8.4","0","2.9","6.6","13.8","8.1","2.2","","4.5","","","","1.3","4.9","0.1","1.3",""
"17","Lee Smith","ATL","0","1.4","8.2","0","4.5","","1.2","0","0","","0","0","0","1.7","0","0","0","0"
"218.8","Travis Kelce","KC","22.6","20.4","13.9","4.3","14.7","13.9","10","4.7","15.3","15.9","16.3","","4.2","4.2","36.1","","10.9","11.4"
"7.5","Tre' McKitty","LAC","","","","","","","","0","0","0","1.2","0","0","0","0.9","1.7","3.7","0"
"5.7","Kendall Blanton","LA","","","","","","","0","0","0","0.7","","0","1.1","3.9","0","0","0","0"
"16.1","Kylen Granson","IND","0","0","0","0.8","2.9","0","0","0.5","3.2","2","1.3","3.2","1.1","","0","1.1","0","0"
"14.2","Blake Bell","KC","1","2.5","1.1","0","0.9","","0","0","0","0.3","1.3","","0","0","0.3","1.6","5.2","0"
"41.1","Tommy Tremble","CAR","0","0","10.2","0","8.2","0","2.2","3.3","1.1","0.8","4.5","0.9","","3.3","1.3","3.2","","2.1"
"16.1","Chris Manhertz","JAX","8.7","0","0","1.2","0","1.6","","0","1.4","0","0","1.6","0","0","1.6","0","0","0"
"51.6","Ryan Griffin","NYJ","3.7","2","1","1.3","0.9","","2","1.2","10.8","2.6","5.4","3.5","8.5","3.8","4.9","","",""
"1.3","Hunter Long","MIA","0","","0","","","0","","","","","","0","1.3","","0","0","",""
"40.9","John Bates","WAS","0","0","0","0","0","1.2","0","0.9","","4","3.8","2","5.7","2.4","3.4","11.5","5","1"
"58.3","Dan Arnold","JAX","1.6","7","3.3","3.9","9.4","3.7","","10.8","8","9.2","0","1.4","","","","","",""
"9.7","Tyree Jackson","PHI","","","","","","","","","0","0","0","0","0","","0","0","0","9.7"
"0","Tony Poljan","BLT","","","","","","","","","","","","","","","","0","",""
"26.2","Zach Gentry","PIT","0.3","0","0","1.5","1.8","0","","5.4","0","0","0","1.5","2","0","2.2","5.1","0.5","5.9"
"1.2","Eric Tomlinson","BLT","0","0","0","0","0","0","0","","1.2","0","0","0","0","0","0","0","0","0"
"121.7","Pat Freiermuth","PIT","2.9","5.6","9.7","1.6","1.7","9.3","","12.4","18.8","5.6","9.1","12","4.1","10.2","5.7","","4.7","8.3"
