"Ovr","Name","Team","W1","W2","W3","W4","W5","W6","W7","W8","W9","W10","W11","W12","W13","W14","W15","W16","W17","W18"
"53.4","Kyle Rudolph","MIN","3.8","0","8.1","3.7","1.5","6.2","","1.7","5.5","8.3","4.3","10.3","0","","","","",""
"141.1","Mark Andrews","BLT","20.3","3.4","3.7","19.2","14.6","3.1","","4.7","3.7","9.6","18.1","","","10.3","15.1","10.6","4.7",""
"0","Sean Culkin","BLT","","","","","","","","","","","","0","","","","","",""
"25.4","Jason Witten","LV","0.7","0.8","0","8.8","1.6","","1.1","3.1","0.5","0","6.6","0","0","0","0","2.2","0",""
"0","Sean McKeon","DAL","","0","0","","0","0","0","","0","","0","0","0","0","0","0","0",""
"6.8","Jordan Thomas","NE","","0","","6.8","","","","","","","0","","","","","","",""
"0","Garrett Griffin","NO","","","","0","0","","","","","","0","","","","","","0",""
"18.8","Geoff Swaim","TEN","","","","","0","2","0","","","0","1.4","4.5","0","10.9","","0","0",""
"60.1","Jordan Reed","SF","2.2","20.5","3.3","","","","","","0.8","8.7","","2.8","10.7","2.3","8.8","0","",""
"1.6","Stephen Carlson","CLV","0","0","0","0","","0","0","0","","","","1.6","0","0","","","0",""
"54.6","Jack Doyle","IND","6.4","","0","1.7","0","10.4","","8.8","0","","7.1","0","1.7","5.9","2.4","7","3.2",""
"65.7","Darren Fells","HST","2.9","9.3","0","3.1","12.7","17.5","0","","3.6","2","3.9","0","0","2","0","8.7","0",""
"69.3","Trey Burton","IND","","","","2.6","5.8","19.9","","8.6","1.1","3.9","9.5","11.7","1.6","0","1.3","3.3","0",""
"35.9","Tyler Kroft","BUF","0","0","16.4","1.7","0","1.2","8.4","1.6","6.6","","","","","","","0","",""
"0.7","Marcus Baugh","WAS","0","0.7","0","0","","","","","","","","","","0","0","0","0",""
"0","Seth DeValve","ARZ","","","","","","","","","","","","","0","0","","0","",""
"12.5","Virgil Green","LAC","1.5","0","0","0","1.9","","9.1","","","","","","","","","","",""
"0","Tyler Davis","JAX","","","0","0","0","0","","","","","","","","","","","",""
"7.1","Deon Yelder","KC","","","0","1","0","0","0","1","0","","0","0.7","0","0","1.1","1.7","1.6",""
"0","Daniel Helm","SF","","","","","","","","","","","","","","","0","0","",""
"0","Nate Becker","BUF","","","","","","","","","","","","","","","","","0",""
"7.8","Cethan Carter","CIN","0","0","0.6","2.9","0","0","","0.7","","0","0","1","0","0","0","0","2.6",""
"34.9","Tyler Conklin","MIN","0","0","0","0","0","0","","0","0","2.1","0","1","1.5","6.5","13.2","5.1","5.5",""
"117","Dalton Schultz","DAL","1.6","19.3","6.8","15.2","1.1","5.5","3.2","8.3","6.8","","10.5","4.9","6.4","4.9","8.4","3.6","10.5",""
"0","Ricky Seals-Jones","KC","","","","","","0","","","","","","","","","","0","",""
"17.5","Lee Smith","BUF","","","6.6","","","0","","0","","0","","0.8","0","0","0","10.1","0",""
"14.6","Josh Hill","NO","0","2.1","0","1.2","0.6","","0.5","1.2","8.4","0","","0","0","0.6","0","0","",""
"260.1","Travis Kelce","KC","14","19.5","11.7","8.5","20.8","21","4.6","20.9","20.9","","22.7","12.2","23.6","23.6","16.8","19.3","",""
"16.7","Blake Bell","DAL","0","4.4","0","3.4","1.8","0","0","0","0.1","","1.8","0","0.7","1.6","1.7","1.2","0",""
"8.2","Chris Manhertz","CAR","0.9","1.3","0","2.2","0","1.1","0","1.1","0","0","0","1.6","","0","0","0","0",""
"13.1","Ryan Griffin","NYJ","0","0","0","2.5","0","2.7","0","0","3.8","","0","0","4.1","0","0","","0",""
"83.3","Dan Arnold","ARZ","3.1","3.6","1.6","5.9","0","0","6.7","","2.1","5.4","6.9","2.2","19.1","9.7","6.9","4","6.1",""
"0","Zach Gentry","PIT","","","","","","","","","","0","0","","","","","","",""
"0","Eric Tomlinson","BLT","0","","","","","","","","","","","0","0","0","0","0","0",""
"121.1","Hayden Hurst","ATL","5.3","15.7","6.6","7.1","1.8","13.7","9.8","7.9","9.7","","0","6.8","1.4","1.2","10.1","13.2","10.8",""
"74.4","Gerald Everett","LA","1.2","0","4.4","7.7","11","4.2","10.8","5.7","","3.7","4.7","2.6","7.4","1.4","3.8","2.3","3.5",""
