"Ovr","Name","Team","W1","W2","W3","W4","W5","W6","W7","W8","W9","W10","W11","W12","W13","W14","W15","W16","W17","W18"
"2.7","Darius Jennings","TEN","0","1.6","0","1.1","0","0","0","","","","","","","","","","0",""
"70.9","Ted Ginn Jr.","NO","13.6","0","2.5","3.4","10.6","5.8","5.8","5.2","","0.5","8.4","4.8","0","7","1.8","0","1.5",""
"83","John Ross","CIN","31.3","19.2","3.2","5.1","","","","","","","","","","3.8","3.4","12","5",""
"12.9","Antonio Callaway","CLV","","","","","0","3.2","","2.1","7.6","","","","","","","","",""
"102.6","T.Y. Hilton","IND","24.7","12.3","16.5","","5.7","","16.4","6.4","","","","3.3","","","4.5","4.1","8.7",""
"187.3","D.J. Chark Jr.","JAX","22.6","15","15.6","6.4","32.4","5.8","8.8","16.9","5.2","","26.4","6.3","5.7","12","","2.8","5.4",""
"207","Amari Cooper","DAL","19.6","12.4","23.8","7.3","34.1","0.8","13.1","","16","26.2","5.3","0","12.5","17.3","2.4","4.4","11.8",""
"0.9","Krishawn Hogan","NO","","","","","","","","0","","0","0","0","0","0","0","0.9","",""
"200.4","Julian Edelman","NE","12.1","7.2","15.7","5","21","15.8","10.2","23.5","13.9","","7.8","13.3","18.9","20.3","1.9","9.7","4.1",""
"136.8","Mike Williams","LAC","3.9","9.8","6","","10.4","9.7","6.7","8.4","12.8","6.5","8.6","","14.2","13.3","15.1","6.6","4.8",""
"54","Cody Latimer","NYG","8.9","4.5","","0","0","0","5.3","3.8","7.8","0","","1.2","4.8","0","2.6","12.9","2.2",""
"5.8","Deontay Burnett","PHI","","","","","","","","","","","","","","","","","5.8",""
"6.7","Ryan Switzer","PIT","5.9","0.5","","","0","0.3","","0","0","0","","","","","","","",""
"4.2","Andre Roberts","BUF","","","0","1.1","0.7","","0","0","0","1.2","0","0","0","","1.2","0","",""
"1.6","John Ursua","SEA","","0","","","","","","","","","","","","","0","","1.6",""
"217.5","Kenny Golladay","DET","12.2","21.7","2.7","21.2","","14.6","2.6","27.3","21.2","13.2","3.9","8.1","23.8","14.8","5.9","15.6","8.7",""
"146","Darius Slayton","NYG","","","9.7","2.3","14.2","4.7","3.8","18","1.1","29.1","","8.7","7.4","29.9","10.1","0","7",""
"58.4","Geronimo Allison","GB","0","10.5","0.4","13.4","3.8","5.5","5.3","1.2","3.1","2.1","","2.4","3","1.6","2.9","0","3.2",""
"5.3","Jason Moore","LAC","","","","","","5.3","","","0","0","0","","","0","0","0","0",""
"162.9","Terry McLaurin","WAS","21","14.7","16","","6.6","24","1.6","5.9","5.9","","8.4","9.7","1.8","13.7","21.5","12.1","",""
"84.9","Demarcus Robinson","KC","0.5","32.2","11.8","5.5","4.6","0","4.6","1.6","1","7.6","0","","0","1.7","3.1","1.8","8.9",""
"3","Josh Bellamy","NYJ","2","1","","","0","0","","0","","","","","","","","","",""
"181.9","Tyler Boyd","CIN","10.3","17.2","9.8","4.8","23.3","2.5","8","9.8","","9.2","1.5","18.6","14.4","10.7","4.1","29.3","8.4",""
"42.9","Jarius Wright","CAR","1.9","2.5","4.8","8.4","1.1","1.1","","2.2","-0.7","2.6","2.4","0.9","4.9","5","1.4","2.4","2",""
