"Ovr","Name","Team","W1","W2","W3","W4","W5","W6","W7","W8","W9","W10","W11","W12","W13","W14","W15","W16","W17","W18"
"35.5","John Ross","NYG","","","","15.2","1.8","0","3.7","8.2","0","","1.6","3.8","0","1.2","","","",""
"62.6","T.Y. Hilton","IND","","","","","","10","","2.6","","1","3.6","10.8","3.2","","2.4","13.1","11","4.9"
"30.9","D.J. Chark Jr.","JAX","16.1","2.4","12.4","0","","","","","","","","","","","","","",""
"168.5","Amari Cooper","DAL","32.4","3.9","4.1","14.4","13.5","8","","22.2","4.7","7.1","","","5.1","13.6","1.8","18","9.3","10.4"
"0","Zach Cunningham","HST","","","","","0","","","","","","","","","","","","",""
"22.1","Dyami Brown","WAS","0.3","4.9","-0.4","2.4","","4.5","0","","","0","0","0","1.1","0","0","6.3","3","0"
"206.6","Mike Williams","LAC","18.2","18.6","27.7","1.6","32.5","3.7","","2.9","6.8","5.3","18.2","5.9","13.5","9.1","6.4","","13.8","22.4"
"5.9","Andre Roberts","LAC","","4","","0","","0","","","0.9","","0.4","","","","0.6","","","0"
"39.9","Quintez Cephus","DET","8.7","14.3","1.3","10.3","5.3","","","","","","","","","","","","",""
"0","Jeff Cotton","JAX","","","","","","","","","","","","","","","","","0",""
"70.6","Kenny Golladay","NYG","8.4","5.3","8.4","14.6","0","","","","3.8","","1.7","6.5","5.2","2.5","6.8","3.7","0","3.7"
"57.6","Darius Slayton","NYG","8","12.9","1.3","","","","8.8","0","0","","5.7","4.2","2.3","0","3.3","1.2","","9.9"
"277","Justin Jefferson","MIN","9.6","15.5","22.3","17.4","15.9","12","","3.1","15.5","18.4","33.2","10.3","30.1","17","12.7","15.6","8.8","19.6"
"21.9","Ty Montgomery","NO","1","0.8","0","6.4","0","","0.4","0.9","","0.2","","7","5","","0","0","-0.4","0.6"
"0","Geronimo Allison","DET","","","","","","0","0","","","0","","","","","","","",""
"3.3","Tylan Wallace","BLT","","0","","0","0","0","0","","","","0","0","0","","1","2.3","0","0"
"7.1","Jason Moore","LAC","","","","","","","","","","","","","","0","","7.1","",""
"175","Terry McLaurin","WAS","8.2","22.2","8.2","27.3","6.6","4.8","21.7","5","","8.9","18.8","7.1","3.7","0","6.1","5.5","9.6","11.3"
"0","Brandon Powell","LA","","","","","","","","","","","","","","","0","0","",""
"56.9","Demarcus Robinson","KC","1.4","12.1","2.7","0","1.3","12.1","1.2","2.3","0.7","3.8","0","","3.1","0","0","2.5","10.3","3.4"
"148.5","Tyler Boyd","CIN","4.7","10.8","11.6","16.3","4.4","1.2","5.9","15.4","1.6","","9.3","2.3","11","8.3","18.1","16","11.6",""
