"Ovr","Team","W1","W2","W3","W4","W5","W6","W7","W8","W9","W10","W11","W12","W13","W14","W15","W16","W17","W18"
"104","ARZ","6","9","4","1","7","15","7","","2","3","2","8","-1","18","10","6","7",""
"73","ATL","-1","3","5","0","0","7","2","6","3","","5","29","4","4","2","5","-1",""
"141","BLT","15","15","7","6","26","9","","3","16","1","3","5","4","0","10","10","11",""
"117","BUF","8","2","5","6","-4","3","14","4","11","6","","6","4","12","12","7","21",""
"93","CAR","-1","3","11","3","5","2","3","4","3","1","17","19","","2","5","15","1",""
"93","CHI","3","12","4","2","6","11","11","1","3","12","","-4","3","17","5","8","-1",""
"43","CIN","2","-2","7","5","3","4","-2","4","","-4","5","9","3","1","8","2","-2",""
"96","CLV","0","4","16","5","13","-2","7","3","","6","20","0","5","2","8","6","3",""
"79","DAL","4","-3","0","0","9","-3","2","12","2","","5","1","1","18","15","10","6",""
"76","DEN","4","5","3","5","","14","2","5","3","-4","12","4","1","10","-1","3","10",""
"35","DET","1","-3","7","0","","6","4","0","4","4","6","0","5","-1","-1","4","-1",""
"91","GB","5","12","3","5","","-4","6","0","6","6","4","15","10","4","6","7","6",""
"46","HST","0","3","1","2","11","4","-2","","4","5","3","16","3","-1","1","-4","0",""
"152","IND","4","15","26","7","10","4","","15","6","16","8","-3","12","12","11","0","9",""
"60","JAX","6","0","0","2","4","1","11","","4","11","2","4","14","2","-1","-1","1",""
"110","KC","7","5","7","20","-1","3","26","9","1","","1","5","5","14","2","7","-1",""
"143","MIA","2","2","12","3","12","15","","23","8","6","5","14","14","12","9","5","1",""
"57","MIN","-4","3","2","5","6","0","","3","9","10","4","4","12","0","2","0","1",""
"110","NE","11","6","15","3","","7","4","3","3","5","0","5","37","3","4","-4","8",""
"126","NO","17","4","-3","4","3","","1","7","16","14","16","14","6","2","5","1","19",""
"97","NYG","4","9","-2","5","8","14","5","4","13","3","","7","13","1","2","2","9",""
"63","NYJ","7","4","-4","8","2","6","5","-4","-1","","8","9","5","-1","8","9","2",""
"40","LV","0","2","0","0","4","","-4","9","4","16","-2","-1","8","-4","0","3","5",""
"102","PHI","3","1","8","18","-1","2","9","20","","3","7","2","7","9","6","0","8",""
"147","PIT","8","13","7","","8","18","2","18","7","12","17","14","3","5","2","9","4",""
"146","LA","4","7","4","11","12","0","12","4","","13","5","14","11","21","2","6","20",""
"75","LAC","11","3","4","4","3","","6","3","2","1","8","9","-3","9","3","7","5",""
"85","SF","4","5","12","5","-2","5","17","-2","0","7","","17","2","4","-2","11","2",""
"104","SEA","6","2","11","5","7","","0","7","3","5","5","9","9","12","9","9","5",""
"118","TB","0","14","18","5","6","19","6","7","1","5","4","4","","9","3","12","5",""
"66","TEN","3","5","7","","8","-2","6","-1","14","0","3","10","-2","8","6","-1","2",""
"126","WAS","15","4","1","4","2","4","17","","5","0","12","15","3","23","3","9","9",""
