"Ovr","Team","W1","W2","W3","W4","W5","W6","W7","W8","W9","W10","W11","W12","W13","W14","W15","W16","W17","W18"
"122","ARZ","16","0","18","5","8","12","11","1","12","3","8","","11","2","3","2","3","7"
"62","ATL","0","1","5","0","5","","6","3","3","-2","5","6","7","13","1","3","6","0"
"80","BLT","4","0","3","11","6","11","-1","","-1","4","9","11","2","2","2","-1","14","4"
"150","BUF","2","22","7","23","17","1","","12","8","12","-4","11","3","1","7","5","8","15"
"92","CAR","9","12","8","-4","8","15","2","11","6","12","5","3","","1","5","-1","3","-3"
"99","CHI","0","20","5","9","9","3","-2","-1","5","","9","4","1","5","7","2","21","2"
"110","CIN","5","6","12","1","4","7","6","7","-2","","12","19","6","5","9","3","-1","11"
"103","CLV","1","7","16","8","0","-2","5","3","18","-2","8","11","","14","7","0","4","5"
"196","DAL","7","7","12","8","11","13","","2","3","29","8","5","17","22","16","30","1","5"
"116","DEN","8","9","19","3","3","1","4","17","7","3","","17","3","10","4","9","-1","0"
"60","DET","1","-1","7","3","7","3","0","-4","","7","11","4","5","-3","8","6","-3","9"
"120","GB","-4","6","8","7","7","7","14","8","5","17","1","15","","13","0","13","6","-3"
"86","HST","7","5","2","-1","5","1","7","-3","15","","16","6","2","-1","10","12","3","0"
"152","IND","4","11","9","8","3","15","11","6","5","20","10","2","18","","20","3","6","1"
"53","JAX","-3","9","1","1","-1","3","","2","17","1","1","3","-3","5","2","3","-2","14"
"128","KC","5","7","0","2","-4","8","3","6","11","7","15","","17","24","3","12","3","9"
"162","MIA","6","3","10","4","-2","4","4","0","17","18","7","29","9","","8","25","0","20"
"123","MIN","5","12","3","4","9","9","","8","12","5","1","9","6","6","15","5","-4","18"
"153","NE","5","19","2","2","5","0","12","13","20","11","28","14","8","","3","-1","12","0"
"141","NO","15","6","20","2","6","","9","15","2","2","0","5","3","7","18","6","15","10"
"87","NYG","4","2","6","2","2","2","19","7","14","","2","13","3","-2","5","0","5","3"
"58","NYJ","4","3","4","7","4","","-3","4","-3","2","2","8","1","2","12","9","2","0"
"63","LV","7","5","3","1","3","13","6","","5","-2","4","0","4","-1","1","6","2","6"
"112","PHI","10","1","9","-1","12","1","1","21","0","15","11","5","5","","3","16","6","-3"
"117","PIT","20","2","2","5","5","8","","10","7","5","2","0","10","0","16","-2","14","13"
"113","LA","8","7","3","-1","7","16","7","7","4","0","","-1","10","8","9","12","10","7"
"78","LAC","4","5","10","7","-3","6","","3","1","5","-1","2","20","6","4","-3","13","-1"
"116","SF","10","8","0","2","5","","4","6","1","16","9","5","9","9","9","5","9","9"
"92","SEA","6","4","0","6","3","3","8","13","","4","2","6","9","6","7","4","5","6"
"137","TB","2","19","0","9","8","4","23","-3","","6","12","12","8","5","6","16","3","7"
"125","TEN","0","2","3","3","13","4","17","12","16","6","0","-2","","21","4","7","17","2"
"91","WAS","5","3","-4","6","5","8","7","7","","5","1","5","3","14","7","-1","2","18"
